-10080,-8980,2708,-739,-1192,1899,7120,14196,-1144
-10080,-8980,2708,-739,-1192,1899,7120,14196,-1144
-9800,-9508,2960,-621,-798,1796,6932,14064,-1660
-9740,-9304,3236,-562,-596,1703,6588,14088,-1944
-9668,-9308,3256,-503,-327,1531,5752,14456,-2420
-9668,-9308,3256,-503,-327,1531,5752,14456,-2420
-9640,-9180,4064,-353,351,1195,5348,14508,-2588
-9640,-9180,4064,-353,351,1195,5348,14508,-2588
-9972,-8760,4768,-270,1111,717,6732,14268,-2456
-9972,-8760,4768,-270,1111,717,6732,14268,-2456
-10376,-8908,5316,-187,1888,205,7208,14080,-2412
-10376,-8908,5316,-187,1888,205,7208,14080,-2412
-11140,-9836,5756,-114,2715,-368,6592,14312,-800
-11140,-9836,5756,-114,2715,-368,6592,14312,-800
-12064,-9716,6036,-65,3182,-801,6860,14328,-376
-13068,-10120,6012,-62,3287,-1045,7128,15232,-556
-13944,-10564,6368,-27,3555,-1214,8080,13804,652
-15084,-11128,6880,48,3623,-1317,8456,13628,976
-15724,-11572,7240,184,3994,-1416,8656,13408,1588
-15820,-11652,7532,265,4312,-1440,8816,13520,2280
-15668,-11688,7636,261,4386,-1328,8296,13696,2140
-14848,-12136,7344,307,4729,-1224,7936,13908,1604
-14444,-11808,7216,310,4641,-976,7320,13568,1432
-13728,-11156,6508,430,4601,-786,6960,13624,1476
-12696,-10256,5436,434,4137,-370,7532,13340,848
-12344,-9200,4440,467,3639,133,8100,13284,664
-11988,-8604,4064,480,3117,666,8100,12876,540
-11508,-8840,3196,510,2437,1229,7728,12576,296
-11024,-9092,2688,439,1627,1844,7296,12580,-136
-11100,-9396,2380,403,926,2503,6872,13004,-588
-11060,-9024,1808,383,579,2956,6844,13492,-884
-11408,-9484,1524,359,-124,3336,6900,13672,-1344
-11824,-9292,1756,365,-705,3771,6848,13444,-1292
-12288,-8832,1688,268,-1209,4093,6928,13492,-1604
-12704,-8616,1948,234,-1302,4324,7184,13724,-1940
-12888,-8824,2052,188,-1251,4537,7568,13628,-1852
-13068,-9292,1980,135,-1077,4563,7968,13728,-1632
-13128,-8948,2116,86,-669,4551,8232,13224,-1332
-13220,-8828,2244,-11,-410,4458,8624,13280,-996
-13196,-8772,2176,-106,-122,4410,8832,12980,-800
-13068,-8544,2356,-135,193,4300,8800,13376,-708
-12868,-8580,2164,-204,282,4197,8640,13384,-408
-12700,-8548,2172,-235,267,4019,8436,13488,16
-12508,-8444,2108,-308,201,3797,8380,13588,144
-12220,-8596,2168,-348,-106,3555,8212,13444,20
-12092,-8844,2140,-381,-339,3361,8260,13244,-268
-11952,-9212,2084,-403,-728,3138,8048,13068,-916
