7440,378,14952,2079,-2398,1921,3940,16014,14494
7260,412,14992,2207,-2369,1864,3704,15298,15000
6856,994,14640,3058,-1311,1025,1352,13546,17812
6908,994,14596,3231,-1240,938,1236,13372,17932
6432,1196,13988,4736,-373,2,1304,10912,17960
6424,1112,13964,4926,-254,-45,1216,10796,18052
6416,1238,13530,6351,408,-373,592,8356,18330
6324,1314,13472,6397,449,-362,374,7712,18694
5868,1644,13018,6717,787,-297,152,11690,15802
5780,1746,12918,6712,814,-252,68,11932,15604
5536,2146,11588,6739,719,-52,-766,7496,16286
5440,2340,11390,6738,746,-52,-860,7024,16230
5082,2478,10812,6829,965,49,-942,6814,14448
5062,2526,10696,6843,1007,61,-1010,7506,14198
4798,2250,9752,6817,1710,184,-1458,8354,13000
4848,2264,9628,6891,1727,199,-1276,7546,13000
4714,1628,8812,6151,1975,93,-1536,6566,12504
4728,1550,8736,6109,1933,173,-2106,6688,11934
4662,1922,8278,5651,2486,-387,-2376,4926,12178
4724,1942,8268,5585,2448,-443,-2142,4690,12208
4682,2358,8220,5178,2886,-595,-1284,6166,9644
4686,2386,8050,4922,2688,-541,-1680,6608,9734
3940,2946,6782,4445,2217,-339,-1782,4384,8784
3866,2962,6728,4528,2289,-305,-1492,3606,8534
3004,3448,3614,3327,2143,-1015,-1476,3056,7490
2956,3666,3672,3466,2184,-1039,-1478,3058,7534
2846,3472,3490,3418,2176,-1095,-1280,2600,7240
2880,3470,3220,3109,2120,-1128,-1164,2370,7248
2846,3472,3490,3418,2176,-1095,-1280,2600,7240
2880,3470,3220,3109,2120,-1128,-1164,2370,7248
2968,4594,2328,2165,1675,-690,-1088,2336,6512
2960,4658,2356,2194,1776,-687,-1074,2204,6386
2954,4798,2576,2176,1779,-682,-966,2146,6298
2978,4854,2782,2167,1782,-683,-978,2014,6174
2968,4594,2328,2165,1675,-690,-1088,2336,6512
2960,4658,2356,2194,1776,-687,-1074,2204,6386
2954,4798,2576,2176,1779,-682,-966,2146,6298
2978,4854,2782,2167,1782,-683,-978,2014,6174
1916,6642,4240,2167,2749,-149,1226,1650,4632
1894,6730,4218,2117,2720,-129,1306,1680,4648
1878,7010,4072,2051,2677,-131,1336,1694,4788
1776,7148,4078,1990,2657,-117,1376,1764,4922
1822,7252,4012,1954,2593,-99,1432,1800,4892
2954,4798,2576,2176,1779,-682,-966,2146,6298
2978,4854,2782,2167,1782,-683,-978,2014,6174
1916,6642,4240,2167,2749,-149,1226,1650,4632
1894,6730,4218,2117,2720,-129,1306,1680,4648
1878,7010,4072,2051,2677,-131,1336,1694,4788
1776,7148,4078,1990,2657,-117,1376,1764,4922
1822,7252,4012,1954,2593,-99,1432,1800,4892
1410,6180,1206,2690,2179,-46,2754,2962,2910
1414,6216,1136,2711,2244,-37,2802,2830,2900
1916,6642,4240,2167,2749,-149,1226,1650,4632
1894,6730,4218,2117,2720,-129,1306,1680,4648
1878,7010,4072,2051,2677,-131,1336,1694,4788
1776,7148,4078,1990,2657,-117,1376,1764,4922
1822,7252,4012,1954,2593,-99,1432,1800,4892
1410,6180,1206,2690,2179,-46,2754,2962,2910
1414,6216,1136,2711,2244,-37,2802,2830,2900
1898,3474,-612,3092,-474,250,5654,4314,1986
1872,3414,-528,3425,-124,311,5646,4406,2108
1878,7010,4072,2051,2677,-131,1336,1694,4788
1776,7148,4078,1990,2657,-117,1376,1764,4922
1822,7252,4012,1954,2593,-99,1432,1800,4892
1410,6180,1206,2690,2179,-46,2754,2962,2910
1414,6216,1136,2711,2244,-37,2802,2830,2900
1898,3474,-612,3092,-474,250,5654,4314,1986
1872,3414,-528,3425,-124,311,5646,4406,2108
1948,54,-1908,4925,486,32,4932,5728,-476
1848,44,-1852,4845,427,-17,4950,5730,-560
1822,7252,4012,1954,2593,-99,1432,1800,4892
1410,6180,1206,2690,2179,-46,2754,2962,2910
1414,6216,1136,2711,2244,-37,2802,2830,2900
1898,3474,-612,3092,-474,250,5654,4314,1986
1872,3414,-528,3425,-124,311,5646,4406,2108
1948,54,-1908,4925,486,32,4932,5728,-476
1848,44,-1852,4845,427,-17,4950,5730,-560
3120,-2844,1334,2966,-963,-68,3552,6252,-968
3174,-3114,1518,3050,-965,-43,3428,6300,-938
1414,6216,1136,2711,2244,-37,2802,2830,2900
1898,3474,-612,3092,-474,250,5654,4314,1986
1872,3414,-528,3425,-124,311,5646,4406,2108
1948,54,-1908,4925,486,32,4932,5728,-476
1848,44,-1852,4845,427,-17,4950,5730,-560
3120,-2844,1334,2966,-963,-68,3552,6252,-968
3174,-3114,1518,3050,-965,-43,3428,6300,-938
5408,-7030,3564,5259,12,89,2764,6782,-776
5230,-7252,3620,5286,24,123,2652,6904,-586
1872,3414,-528,3425,-124,311,5646,4406,2108
1948,54,-1908,4925,486,32,4932,5728,-476
1848,44,-1852,4845,427,-17,4950,5730,-560
3120,-2844,1334,2966,-963,-68,3552,6252,-968
3174,-3114,1518,3050,-965,-43,3428,6300,-938
5408,-7030,3564,5259,12,89,2764,6782,-776
5230,-7252,3620,5286,24,123,2652,6904,-586
4370,-6988,14274,5734,-167,865,5164,12456,226
4144,-6960,14304,5777,-252,877,5110,12616,280
1848,44,-1852,4845,427,-17,4950,5730,-560
3120,-2844,1334,2966,-963,-68,3552,6252,-968
3174,-3114,1518,3050,-965,-43,3428,6300,-938
5408,-7030,3564,5259,12,89,2764,6782,-776
5230,-7252,3620,5286,24,123,2652,6904,-586
4370,-6988,14274,5734,-167,865,5164,12456,226
4144,-6960,14304,5777,-252,877,5110,12616,280
4494,650,16064,10331,889,1184,2990,16864,4182
4604,794,16118,10312,836,1204,2980,16824,4254
3174,-3114,1518,3050,-965,-43,3428,6300,-938
5408,-7030,3564,5259,12,89,2764,6782,-776
5230,-7252,3620,5286,24,123,2652,6904,-586
4370,-6988,14274,5734,-167,865,5164,12456,226
4144,-6960,14304,5777,-252,877,5110,12616,280
4494,650,16064,10331,889,1184,2990,16864,4182
4604,794,16118,10312,836,1204,2980,16824,4254
2498,-2204,17418,8200,782,1389,170,16404,11038
2460,-2276,17332,8205,625,1479,52,16226,11212
5230,-7252,3620,5286,24,123,2652,6904,-586
4370,-6988,14274,5734,-167,865,5164,12456,226
4144,-6960,14304,5777,-252,877,5110,12616,280
4494,650,16064,10331,889,1184,2990,16864,4182
4604,794,16118,10312,836,1204,2980,16824,4254
2498,-2204,17418,8200,782,1389,170,16404,11038
2460,-2276,17332,8205,625,1479,52,16226,11212
2366,-4260,16684,12618,3598,2400,-1754,9024,16552
2380,-4256,16494,12537,3630,2368,-1818,8892,16544
4144,-6960,14304,5777,-252,877,5110,12616,280
4494,650,16064,10331,889,1184,2990,16864,4182
4604,794,16118,10312,836,1204,2980,16824,4254
2498,-2204,17418,8200,782,1389,170,16404,11038
2460,-2276,17332,8205,625,1479,52,16226,11212
2366,-4260,16684,12618,3598,2400,-1754,9024,16552
2380,-4256,16494,12537,3630,2368,-1818,8892,16544
1456,-506,15916,9634,4096,528,-2934,4160,11672
1284,-546,15944,9560,4204,481,-3032,4310,11838
4604,794,16118,10312,836,1204,2980,16824,4254
2498,-2204,17418,8200,782,1389,170,16404,11038
2460,-2276,17332,8205,625,1479,52,16226,11212
2366,-4260,16684,12618,3598,2400,-1754,9024,16552
2380,-4256,16494,12537,3630,2368,-1818,8892,16544
1456,-506,15916,9634,4096,528,-2934,4160,11672
1284,-546,15944,9560,4204,481,-3032,4310,11838
-312,4834,5956,7023,2250,518,-2446,2590,6956
-366,4860,6006,6922,2231,485,-2506,2762,6876
2460,-2276,17332,8205,625,1479,52,16226,11212
2366,-4260,16684,12618,3598,2400,-1754,9024,16552
2380,-4256,16494,12537,3630,2368,-1818,8892,16544
1456,-506,15916,9634,4096,528,-2934,4160,11672
1284,-546,15944,9560,4204,481,-3032,4310,11838
-312,4834,5956,7023,2250,518,-2446,2590,6956
-366,4860,6006,6922,2231,485,-2506,2762,6876
450,4102,-148,6576,2398,-891,12,3490,4374
392,4070,-162,6638,2444,-875,96,3524,4378
2380,-4256,16494,12537,3630,2368,-1818,8892,16544
1456,-506,15916,9634,4096,528,-2934,4160,11672
1284,-546,15944,9560,4204,481,-3032,4310,11838
-312,4834,5956,7023,2250,518,-2446,2590,6956
-366,4860,6006,6922,2231,485,-2506,2762,6876
450,4102,-148,6576,2398,-891,12,3490,4374
392,4070,-162,6638,2444,-875,96,3524,4378
568,2812,-550,5568,2624,-430,2028,3540,1300
526,2714,-584,5517,2603,-431,2074,3554,1330
1284,-546,15944,9560,4204,481,-3032,4310,11838
-312,4834,5956,7023,2250,518,-2446,2590,6956
-366,4860,6006,6922,2231,485,-2506,2762,6876
450,4102,-148,6576,2398,-891,12,3490,4374
392,4070,-162,6638,2444,-875,96,3524,4378
568,2812,-550,5568,2624,-430,2028,3540,1300
526,2714,-584,5517,2603,-431,2074,3554,1330
1798,1576,-1650,5266,455,-904,4740,3184,468
1890,1574,-1640,5317,470,-905,4772,3154,420
