-7022,-734,1876,-2094,-1676,1031,-6542,2500,-114
-7004,-724,1932,-2081,-1711,1029,-6496,2416,-182
-6636,-584,1756,-1903,-2209,932,-6094,2022,-150
-6668,-558,1844,-1886,-2238,917,-6048,2004,-196
-6482,-414,1728,-1641,-2467,816,-5792,1646,-176
-6374,-398,1752,-1610,-2494,804,-5748,1628,-172
-6158,-246,1666,-1284,-2653,605,-5376,922,-198
-6182,-252,1612,-1253,-2672,579,-5312,900,-186
-6286,-260,1660,-832,-2866,336,-5310,282,-516
-6168,-200,1604,-799,-2904,309,-5346,190,-502
-6426,-166,1548,-494,-3310,104,-5878,-220,-510
-6420,-278,1588,-477,-3351,99,-5924,-276,-500
-6602,-306,1328,-343,-3898,102,-7062,-336,402
-6532,-314,1312,-327,-3949,109,-7162,-314,506
-6632,-464,1454,-84,-4458,197,-7764,-554,698
-6694,-496,1600,-45,-4462,203,-7776,-602,680
-7610,-1162,2116,125,-4225,255,-8204,-658,182
-7660,-1126,1928,168,-4260,246,-8400,-582,116
-8922,-3122,3848,-154,-3605,306,-9708,-450,-462
-9230,-3436,4350,-172,-3615,314,-9782,-452,-514
-11288,-5308,7104,-645,-3385,794,-11914,76,-448
-11684,-5516,7262,-716,-3336,825,-12022,154,-636
-13898,-7060,8656,-1489,-3170,890,-14338,1788,-470
-14270,-7288,8508,-1532,-3171,906,-14500,1902,-332
-15530,-8916,7518,-2031,-2902,1153,-16784,4860,756
-15538,-8882,7182,-2070,-2807,1151,-16834,5092,1158
-14134,-8344,6854,-1800,-1913,655,-14996,6084,2346
-13950,-8284,6642,-1745,-1734,619,-14822,6064,2412
-11254,-6048,5624,-962,-273,-207,-11590,4938,3226
-11124,-5846,5512,-884,-177,-311,-11344,4750,3400
-8644,-4068,4930,-23,888,-1293,-9074,3290,3164
-8458,-3864,4778,60,967,-1351,-8936,3158,3232
-7210,-3174,4660,488,1466,-1755,-7798,2462,3020
-7050,-3210,4880,497,1507,-1785,-7752,2322,2962
-5582,-3452,5404,492,1321,-1925,-7040,1726,2462
-5534,-3586,5548,500,1298,-1914,-7000,1872,2462
-5620,-3714,5668,510,1269,-1902,-6986,1980,2452
-5570,-3856,5926,516,1237,-1893,-6998,2010,2554
-5620,-3714,5668,510,1269,-1902,-6986,1980,2452
-5570,-3856,5926,516,1237,-1893,-6998,2010,2554
-4984,-4130,5736,1177,572,-1699,-6376,2760,2480
-5034,-4230,5718,1202,537,-1685,-6330,2748,2472
-5044,-4182,5610,1219,519,-1671,-6252,2656,2396
-5034,-4112,5498,1213,530,-1634,-6200,2626,2386
-4984,-4130,5736,1177,572,-1699,-6376,2760,2480
-5034,-4230,5718,1202,537,-1685,-6330,2748,2472
-5044,-4182,5610,1219,519,-1671,-6252,2656,2396
