-628,-2941,4146,153,257,-85,1756,2211,4735
-684,-2702,4019,161,244,-92,1523,2086,4657
-763,-1503,3277,199,163,-144,315,1376,3972
-728,-1385,3172,190,149,-156,142,1260,3799
-755,-769,2086,108,72,-174,-422,728,2556
-785,-782,1926,93,56,-175,-546,640,2396
-800,-798,1767,78,38,-169,-683,589,2268
-784,-812,1626,61,28,-169,-804,501,2083
-800,-798,1767,78,38,-169,-683,589,2268
-784,-812,1626,61,28,-169,-804,501,2083
-766,-601,600,119,-210,-142,-1597,-711,1043
-880,-324,546,120,-243,-141,-1733,-931,886
-1012,-132,544,117,-282,-136,-1780,-1046,785
-1136,90,520,112,-322,-118,-1806,-1099,726
-766,-601,600,119,-210,-142,-1597,-711,1043
-880,-324,546,120,-243,-141,-1733,-931,886
-1012,-132,544,117,-282,-136,-1780,-1046,785
-1136,90,520,112,-322,-118,-1806,-1099,726
-1361,2947,-809,-230,-572,177,-2625,-2313,-166
-1434,3180,-928,-266,-598,199,-2738,-2396,-154
-1494,3441,-979,-311,-632,221,-2880,-2468,-63
-1536,3694,-1028,-346,-663,238,-2982,-2518,-57
-1571,4031,-1028,-376,-698,255,-3114,-2541,-16
-1012,-132,544,117,-282,-136,-1780,-1046,785
-1136,90,520,112,-322,-118,-1806,-1099,726
-1361,2947,-809,-230,-572,177,-2625,-2313,-166
-1434,3180,-928,-266,-598,199,-2738,-2396,-154
-1494,3441,-979,-311,-632,221,-2880,-2468,-63
-1536,3694,-1028,-346,-663,238,-2982,-2518,-57
-1571,4031,-1028,-376,-698,255,-3114,-2541,-16
-2034,9940,-1139,-183,-676,1,-5986,-8551,282
-2052,10232,-1062,-157,-668,-16,-5973,-8781,340
-1361,2947,-809,-230,-572,177,-2625,-2313,-166
-1434,3180,-928,-266,-598,199,-2738,-2396,-154
-1494,3441,-979,-311,-632,221,-2880,-2468,-63
-1536,3694,-1028,-346,-663,238,-2982,-2518,-57
-1571,4031,-1028,-376,-698,255,-3114,-2541,-16
-2034,9940,-1139,-183,-676,1,-5986,-8551,282
-2052,10232,-1062,-157,-668,-16,-5973,-8781,340
-571,16701,177,-843,-57,-9,-9298,-18017,1021
-486,16821,222,-915,18,-17,-9217,-17966,1015
-1494,3441,-979,-311,-632,221,-2880,-2468,-63
-1536,3694,-1028,-346,-663,238,-2982,-2518,-57
-1571,4031,-1028,-376,-698,255,-3114,-2541,-16
-2034,9940,-1139,-183,-676,1,-5986,-8551,282
-2052,10232,-1062,-157,-668,-16,-5973,-8781,340
-571,16701,177,-843,-57,-9,-9298,-18017,1021
-486,16821,222,-915,18,-17,-9217,-17966,1015
378,14714,798,-1031,169,-73,-6795,-14016,896
360,14381,883,-1021,138,-84,-6638,-13594,792
