,ACCURACY,Busdriver,Frontback,Jumping,Jumpingjacks,Sidestep,Squatturnclap,Turnclap,Wavehands,Window,Windowspin
Wavehands,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,81.0,0.0,0.0
Busdriver,,83.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frontback,,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sidestep,,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0
Jumping,,5.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jumpingjacks,,1.0,2.0,0.0,57.0,0.0,1.0,6.0,0.0,2.0,4.0
Turnclap,,0.0,0.0,2.0,4.0,0.0,1.0,89.0,1.0,4.0,0.0
Squatturnclap,,0.0,0.0,0.0,0.0,1.0,81.0,0.0,0.0,6.0,0.0
window,,0.0,5.0,0.0,0.0,3.0,8.0,0.0,1.0,88.0,0.0
Windowspin,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
ACCURACY,0.9344444444444444,,,,,,,,,,
