,ACCURACY,Busdriver,Final,Frontback,Jumping,Jumpingjacks,Sidestep,Squatturnclap,Turnclap,Wavehands,Window,Windowspin
Wavehands,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0
Busdriver,,96.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Frontback,,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sidestep,,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0
Jumping,,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jumpingjacks,,0.0,0.0,9.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
Turnclap,,0.0,2.0,1.0,0.0,0.0,1.0,14.0,52.0,1.0,3.0,8.0
Squatturnclap,,0.0,4.0,0.0,2.0,2.0,1.0,66.0,1.0,3.0,1.0,7.0
window,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,89.0,10.0
Windowspin,,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,88.0
Final,,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACCURACY,0.9181818181818182,,,,,,,,,,,
