-3619,-10117,-7048,-179,-74,-686,-792,-3141,3235
-3607,-10178,-7099,-233,-63,-685,-727,-2875,3237
-3828,-10553,-7272,-405,-17,-667,-164,-1589,3197
-3890,-10598,-7273,-433,-14,-659,-25,-1333,3207
-3752,-10191,-6746,-779,68,-657,1250,576,2213
-3732,-10189,-6670,-796,62,-656,1309,663,2031
-3759,-10200,-6591,-809,57,-662,1373,772,1859
-3812,-10214,-6553,-825,40,-668,1416,906,1722
-3854,-10229,-6514,-831,32,-673,1470,1047,1547
-3890,-10238,-6457,-835,16,-673,1477,1277,1415
-3759,-10200,-6591,-809,57,-662,1373,772,1859
-3812,-10214,-6553,-825,40,-668,1416,906,1722
-3854,-10229,-6514,-831,32,-673,1470,1047,1547
-3890,-10238,-6457,-835,16,-673,1477,1277,1415
-2893,-9713,-6862,-518,-234,-616,2117,4039,883
-2841,-9722,-6781,-489,-233,-618,2136,3904,765
-2779,-9713,-6687,-478,-229,-611,2242,3666,647
-2708,-9702,-6614,-462,-240,-613,2337,3431,558
-2573,-9760,-6429,-446,-248,-611,2401,3172,473
-3854,-10229,-6514,-831,32,-673,1470,1047,1547
-3890,-10238,-6457,-835,16,-673,1477,1277,1415
-2893,-9713,-6862,-518,-234,-616,2117,4039,883
-2841,-9722,-6781,-489,-233,-618,2136,3904,765
-2779,-9713,-6687,-478,-229,-611,2242,3666,647
-2708,-9702,-6614,-462,-240,-613,2337,3431,558
-2573,-9760,-6429,-446,-248,-611,2401,3172,473
-1130,-8126,-4088,-2103,-275,-761,3701,6389,-2574
-1045,-8218,-3979,-2118,-269,-770,3742,6210,-2638
-2893,-9713,-6862,-518,-234,-616,2117,4039,883
-2841,-9722,-6781,-489,-233,-618,2136,3904,765
-2779,-9713,-6687,-478,-229,-611,2242,3666,647
-2708,-9702,-6614,-462,-240,-613,2337,3431,558
-2573,-9760,-6429,-446,-248,-611,2401,3172,473
-1130,-8126,-4088,-2103,-275,-761,3701,6389,-2574
-1045,-8218,-3979,-2118,-269,-770,3742,6210,-2638
993,-7479,-994,-1417,-752,-700,3160,8104,-5863
1024,-7566,-777,-1375,-762,-710,2915,8201,-5918
-2779,-9713,-6687,-478,-229,-611,2242,3666,647
-2708,-9702,-6614,-462,-240,-613,2337,3431,558
-2573,-9760,-6429,-446,-248,-611,2401,3172,473
-1130,-8126,-4088,-2103,-275,-761,3701,6389,-2574
-1045,-8218,-3979,-2118,-269,-770,3742,6210,-2638
993,-7479,-994,-1417,-752,-700,3160,8104,-5863
1024,-7566,-777,-1375,-762,-710,2915,8201,-5918
2003,-6142,833,-1027,-517,-893,1459,10923,-8126
1934,-6042,907,-1032,-504,-882,1441,11037,-7954
-2573,-9760,-6429,-446,-248,-611,2401,3172,473
-1130,-8126,-4088,-2103,-275,-761,3701,6389,-2574
-1045,-8218,-3979,-2118,-269,-770,3742,6210,-2638
993,-7479,-994,-1417,-752,-700,3160,8104,-5863
1024,-7566,-777,-1375,-762,-710,2915,8201,-5918
2003,-6142,833,-1027,-517,-893,1459,10923,-8126
1934,-6042,907,-1032,-504,-882,1441,11037,-7954
1966,-2631,2168,-769,-312,-634,-1201,11457,-8624
1889,-2534,2322,-756,-320,-638,-1284,11582,-8610
-1045,-8218,-3979,-2118,-269,-770,3742,6210,-2638
993,-7479,-994,-1417,-752,-700,3160,8104,-5863
1024,-7566,-777,-1375,-762,-710,2915,8201,-5918
2003,-6142,833,-1027,-517,-893,1459,10923,-8126
1934,-6042,907,-1032,-504,-882,1441,11037,-7954
1966,-2631,2168,-769,-312,-634,-1201,11457,-8624
1889,-2534,2322,-756,-320,-638,-1284,11582,-8610
809,568,4592,324,-74,-690,-2792,9961,-9584
791,736,4661,340,-69,-688,-2080,9300,-9098
1024,-7566,-777,-1375,-762,-710,2915,8201,-5918
2003,-6142,833,-1027,-517,-893,1459,10923,-8126
1934,-6042,907,-1032,-504,-882,1441,11037,-7954
1966,-2631,2168,-769,-312,-634,-1201,11457,-8624
1889,-2534,2322,-756,-320,-638,-1284,11582,-8610
809,568,4592,324,-74,-690,-2792,9961,-9584
791,736,4661,340,-69,-688,-2080,9300,-9098
142,2684,5713,350,-54,-418,-2627,8454,-7337
117,2772,5783,360,-61,-401,-2567,8486,-7059
1934,-6042,907,-1032,-504,-882,1441,11037,-7954
1966,-2631,2168,-769,-312,-634,-1201,11457,-8624
1889,-2534,2322,-756,-320,-638,-1284,11582,-8610
809,568,4592,324,-74,-690,-2792,9961,-9584
791,736,4661,340,-69,-688,-2080,9300,-9098
142,2684,5713,350,-54,-418,-2627,8454,-7337
117,2772,5783,360,-61,-401,-2567,8486,-7059
-1124,5180,6972,245,19,-82,-1177,9622,-5197
-1209,5196,6926,224,20,-74,-1167,9618,-5134
1889,-2534,2322,-756,-320,-638,-1284,11582,-8610
809,568,4592,324,-74,-690,-2792,9961,-9584
791,736,4661,340,-69,-688,-2080,9300,-9098
142,2684,5713,350,-54,-418,-2627,8454,-7337
117,2772,5783,360,-61,-401,-2567,8486,-7059
-1124,5180,6972,245,19,-82,-1177,9622,-5197
-1209,5196,6926,224,20,-74,-1167,9618,-5134
-2637,6611,7761,-768,-60,151,-874,10108,-4370
-2655,6662,7736,-788,-65,156,-886,10125,-4310
791,736,4661,340,-69,-688,-2080,9300,-9098
